ra,ano,fase,fase_ideal,defasagem,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,genero,idade,ano_ingresso,instituicao_ensino,indicado_bolsa,atingiu_pv,num_avaliacoes,defasagem_cat,risco_defasagem
RA-64,2022,5,6,-1,Ametista,7.368,7.1,8.1,8.1,,7.5,8.25,5.0,4.8,8.2,9.4,Masculino,16.0,2019,Escola Pública,Sim,Não,3.0,Moderada,1
RA-65,2022,5,7,-2,Ametista,7.712,8.3,7.7,7.5,,9.3,7.875,5.0,9.0,9.5,9.5,Feminino,17.0,2022,Escola Pública,Sim,Não,3.0,Severa,1
RA-66,2022,5,7,-2,Quartzo,5.665,7.5,5.6,7.5,,4.5,5.917,5.0,3.0,6.0,,Feminino,17.0,2022,Escola Pública,Não,Não,3.0,Severa,1
RA-67,2022,5,6,-1,Quartzo,5.195,5.8,3.0,7.5,,3.6,6.889,5.0,3.0,4.2,3.5,Feminino,16.0,2019,Escola Pública,Não,Não,4.0,Moderada,1
RA-68,2022,5,6,-1,Ágata,6.438,8.3,6.0,7.5,,4.0,7.944,5.0,4.7,4.8,2.7,Masculino,16.0,2019,Escola Pública,Sim,Não,4.0,Moderada,1
RA-69,2022,5,6,-1,Quartzo,5.718,8.3,6.1,7.5,,2.5,6.167,5.0,4.7,2.6,0.3,Masculino,16.0,2018,Escola Pública,Não,Não,4.0,Moderada,1
RA-70,2022,5,6,-1,Quartzo,5.712,8.8,6.6,5.0,,2.9,6.111,5.0,5.7,2.9,0.2,Feminino,16.0,2017,Escola Pública,Não,Não,4.0,Moderada,1
RA-71,2022,5,7,-2,Quartzo,4.332,7.9,2.0,7.5,,1.2,5.833,5.0,1.3,2.2,0.0,Feminino,17.0,2019,Escola Pública,Não,Não,4.0,Severa,1
RA-72,2022,5,7,-2,Ametista,7.64,8.3,7.5,7.5,,7.8,8.667,5.0,7.5,7.8,8.0,Feminino,17.0,2022,Escola Pública,Sim,Sim,4.0,Severa,1
RA-73,2022,5,7,-2,Quartzo,5.271,7.1,3.0,7.5,,3.3,7.278,5.0,4.5,3.0,2.3,Feminino,17.0,2022,Escola Pública,Sim,Não,4.0,Severa,1
RA-74,2022,5,6,-1,Quartzo,4.989,9.6,3.3,7.5,,2.0,5.833,5.0,6.0,0.0,0.0,Masculino,16.0,2022,Escola Pública,Não,Não,4.0,Moderada,1
RA-75,2022,5,6,-1,Quartzo,3.915,5.4,3.8,6.3,,0.0,4.625,5.0,0.0,0.0,,Feminino,16.0,2022,Escola Pública,Não,Não,4.0,Moderada,1
RA-76,2022,5,5,0,Topázio,9.105,10.0,9.1,8.1,,8.7,9.292,10.0,9.3,8.3,8.4,Feminino,15.0,2017,Rede Decisão,Não,Sim,4.0,Em fase/Avancado,0
RA-77,2022,5,6,-1,Quartzo,3.846,7.1,2.7,5.0,,0.7,4.625,5.0,0.3,1.8,0.0,Masculino,16.0,2019,Escola Pública,Não,Não,4.0,Moderada,1
RA-78,2022,5,7,-2,Ametista,7.04,8.3,6.6,5.6,,7.2,8.0,5.0,8.7,5.7,7.3,Masculino,17.0,2018,Rede Decisão,Não,Não,4.0,Severa,1
RA-79,2022,5,6,-1,Ágata,6.847,5.4,6.3,5.6,,8.9,7.292,5.0,9.5,7.7,9.5,Feminino,16.0,2018,Rede Decisão,Não,Não,4.0,Moderada,1
RA-80,2022,5,6,-1,Ametista,7.29,9.2,8.3,5.0,,7.1,7.625,5.0,6.5,7.7,7.3,Feminino,16.0,2017,Rede Decisão,Não,Não,4.0,Moderada,1
RA-81,2022,5,4,1,Ametista,7.675,9.2,9.2,5.0,,6.0,7.458,10.0,5.5,5.2,7.3,Feminino,14.0,2017,Rede Decisão,Não,Não,4.0,Em fase/Avancado,0
RA-82,2022,5,7,-2,Ágata,6.596,8.8,6.8,7.5,,5.5,6.417,5.0,6.0,5.0,,Feminino,17.0,2022,Escola Pública,Sim,Não,4.0,Severa,1
RA-83,2022,5,7,-2,Ágata,6.671,7.9,6.8,7.5,,6.8,5.958,5.0,6.0,7.5,,Feminino,17.0,2022,Escola Pública,Sim,Não,4.0,Severa,1
RA-84,2022,5,7,-2,Ágata,6.682,7.1,8.8,5.0,,5.8,6.75,5.0,5.7,6.5,5.2,Feminino,17.0,2018,Rede Decisão,Não,Não,4.0,Severa,1
